,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2022-05-02,24.630000,25.520000,24.290000,25.420000,25.420000,339253,0.000000,1.000000
2022-05-03,25.400000,25.879600,24.740000,24.870000,24.870000,438695,0.000000,1.000000
2022-05-04,25.070000,27.190000,24.460000,27.100000,27.100000,511831,0.000000,1.000000
2022-05-05,26.890000,26.890000,25.720000,26.360000,26.360000,783187,0.000000,1.000000
2022-05-06,26.030000,26.030000,24.000000,24.400000,24.400000,987945,0.000000,1.000000
2022-05-09,23.790000,24.705000,23.310000,23.380000,23.380000,406674,0.000000,1.000000
2022-05-10,24.010000,24.060000,21.340000,22.830000,22.830000,562903,0.000000,1.000000
2022-05-11,22.550000,23.200000,21.080000,21.320000,21.320000,619021,0.000000,1.000000
2022-05-12,21.000000,22.190000,20.140000,21.650000,21.650000,495966,0.000000,1.000000
2022-05-13,22.350000,22.990000,21.770000,22.490000,22.490000,415909,0.000000,1.000000
2022-05-16,22.290000,22.290000,21.000000,21.590000,21.590000,297095,0.000000,1.000000
2022-05-17,22.010000,23.120000,21.729700,23.100000,23.100000,484550,0.000000,1.000000
2022-05-18,22.710000,22.950000,22.425000,22.870000,22.870000,266935,0.000000,1.000000
2022-05-19,22.900000,24.130000,22.590000,23.090000,23.090000,537385,0.000000,1.000000
2022-05-20,23.630000,24.330000,22.830000,24.020000,24.020000,403617,0.000000,1.000000
2022-05-23,24.160000,24.860000,23.390000,24.810000,24.810000,264198,0.000000,1.000000
2022-05-24,24.370000,24.370000,23.230000,23.320000,23.320000,379666,0.000000,1.000000
2022-05-25,23.060000,24.910000,23.060000,24.660000,24.660000,241816,0.000000,1.000000
2022-05-26,24.560000,24.910000,24.160000,24.470000,24.470000,206447,0.000000,1.000000
2022-05-27,24.710000,25.430000,24.370000,25.190000,25.190000,276092,0.000000,1.000000
2022-05-31,25.040000,25.260000,23.530000,24.520000,24.520000,1017963,0.000000,1.000000
2022-06-01,24.540000,25.550000,24.540000,25.040000,25.040000,273735,0.000000,1.000000
2022-06-02,24.940000,25.790000,24.410000,25.450000,25.450000,256263,0.000000,1.000000
2022-06-03,25.100000,25.590000,24.340800,24.950000,24.950000,266639,0.000000,1.000000
2022-06-06,25.430000,25.970000,24.975400,25.570000,25.570000,254239,0.000000,1.000000
2022-06-07,25.290000,26.295000,25.080000,26.160000,26.160000,347793,0.000000,1.000000
